Sentiment,SentimentText,user
"1","RT @efbd_impactlab: FREE PYTHON WORKSHOP ON 24 NOVEMBER - REGISTER NOW!\n\n@stevehadd from the @metoffice @informatics_lab will introduce you…","py_data_sci"
"2","RT @HillaryJuma_: #BlackInDataRollCall Hey, I'm Hillary, Data Science Community and Engagement manager at the @ONS , @DataSciCampus support…","KayJay56"
"1","A step-by-step guide for creating an authentic data science portfolio project https://t.co/OCawAdP7PL  #DataScience","Datascience__"
"1","This is a great explanation of the benefits and challenges of the Kubernetes platform for data science workloads. https://t.co/F2WlR0ivZV","facorreia"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","epuujee"
"2","RT @NVIDIAAI: Introducing NVIDIA DGX Station A100, the workgroup appliance for the age of #AI. Delivering 2.5 petaFLOPS of performance, dat…","HARUNEKO3084"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","BlkInData"
"2","I think most people that believe/use science don't \"believe blindly\" but have faith in the system\nBut the fundament… https://t.co/UvUr3cSFoM","TimilehinEO"
"2","@XLevelOnline @Lawlith117 @JamesEBriggs @GreggDoyelStar Happens to all races and cobsidering the over 300 mil polic… https://t.co/cqNps9UJ15","Boob1993"
"1","@Danielmayowa7 @tosinox By societal definition? Based on what available fact &amp; data? See, we can't throw science ou… https://t.co/PXWGCH9gI2","glucosebaybie"
"1","RT @TheSmartJokes: Keep calm https://t.co/DT9s0Cqdpb https://t.co/gMYMpobK5D","cormul_h"
"2","RT @rootsnpoetry: #BlackInDataRollCall ! I'm Kailande, a co-organizer @BlkInData #BlackinDataWeek. I'm a senior @howardu in @HUKarshSTEM &amp;…","LindseyWhitmor1"
"1","It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis… https://t.co/6K912xIwFS","Dorris_Scott"
"2","@SadiqKhan But it wouldn t be!!!! Look at the data please! Look at the science and embrace the fact that Covid is N… https://t.co/W9fOt10Stb","emigrantdude"
"1","RT @FaheemYounus: Riddle Revealed\nThe table showed rate of COVID deaths/million for the top 11 countries. See image \n\nScience is reproducib…","akhi1211"
"1","Thomas Doyle is an MS student using high vertical resolution hydraulic head data to identify hydrostratigraphic uni… https://t.co/EgQjOjXIgU","UIowaEES"
"1","L’Oréal USA Announces 2020 For Women In Science Fellows \n\nREAD MORE: https://t.co/vjQy02wd61\n\n#Art #Astronomy… https://t.co/02h61xDL5w","IAM__Network"
"1","RT @SIRSGlobal: 🔬New research from NAPLS2 @SchizRes analysing data of 349 individuals at clinical high risk for #psychosis (CHR) shows that…","JDavid_VS"
"2","RT @NVIDIAAI: Introducing NVIDIA DGX Station A100, the workgroup appliance for the age of #AI. Delivering 2.5 petaFLOPS of performance, dat…","MarkusAtNVIDIA"
"2","RT @zpkilpat: UC Davis is expanding CompNeuro via a 10+ tenure-track faculty position cluster hire in CompNeuro. NeuroEng, Network + Data S…","uttara_tipnis"
"1","RT @RiskyTalkPod: Good news! But once again, it’s science by press release😖\n\nGive us the the data &amp; the detail!","_captainscience"
"1","RT @ShuangZhang20: I'm seeking a new graduate student to work on global carbon and biogeochemical cycles using Geo-statistics and Data Scie…","menudolio"
"1","RT @ShuangZhang20: I'm seeking a new graduate student to work on global carbon and biogeochemical cycles using Geo-statistics and Data Scie…","ChemClimatology"
"2","RT @uvastudco: The Student Council Data Science Committee is running a survey investigating the effects of tuition increases on students, a…","noah_strike"
"1","RT @RoadBoticsNA: Many Congrats to the @pghtech winners thus far and to the Data Science Category Winner: @Idelictech #2020Tech50\n\nIOY: Inn…","Idelictech"
"1","@Plinz I would have benefited from a project based curricula, in fact I would have happily stayed behind if I could… https://t.co/kEZjrppKuf","NwaigboOdera"
"1","RT @marcusborba: 10 Free Must-Read Books for Machine Learning and Data Science\n\nhttps://t.co/QoFqTbk2PG @kdnuggets\n\n#ArtificialIntelligence…","serik0411"
"2","RT @iwpgh: Innovator of the Year: Data Science\nWinner: @Idelictech","Idelictech"
"1","RT @hystaxcom: Hystax is eager to announce a successful partnership with PGI-DATA to enable blue-chip Asian companies in the areas of data…","mirlena777"
"2","RT @OriginVentures: Origin portfolio company @Idelictech was named Innovator of the Year in Data Science by @NEXTpittsburgh! https://t.co/l…","Idelictech"
"1","RT @TrendingNews_7: Top Data Science Applications You Should Know About\nhttps://t.co/SARO4vfiBq V/ \n@automeme\n\n#data #DataScience #BigData…","AITechmeme"
"2","For @451Research clients: @iguazio lifts the lid on its enterprise data science play for data scientists… https://t.co/O8RPB4iGar","thedataday"
"2","For @451Research clients: @iguazio lifts the lid on its enterprise data science play for data scientists… https://t.co/H7FKeDviGm","maslett"
"2","Thank you, @pghtech, for recognizing us as the winner of the #2020Tech50 Innovator of the Year: Data Science award!… https://t.co/J1jtsqLwvk","Idelictech"
"1","Looking to expand your career in Data Science? This position involves engaging work and hands-on Python experience.… https://t.co/pLMKzXUVTs","RResourcesLLC"
"1","RT @ChristiAnne67: 🥼 Moderna COVID vaccine could be up to 94.5% effective https://t.co/TSTGltbTxw seeks FDA authorization\n\n#Science\n😷 #COVI…","BP_Smith"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","coder_487"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","yabellini"
"1","Are you somebody who wants to use their data skills for the social good? Do you want to meet like-minded people?\n\nT… https://t.co/VkPG6NXd18","CorrelAidxNL"
"2","What Containers in Data Science?\n\n5 Reasons Why Containers  Will Rule Data Science\n\n👉 https://t.co/6wdz75wTNc… https://t.co/bn8xGw1Kny","henson_tm"
"1","@DertGroe @fridayprayers I have to push back against this nonsense. First off, there is no \"printed map of the gala… https://t.co/AXhVV45lSu","DemocracyRevive"
"1","Last week we hosted ‘Understanding Food in a Digital World’, a webinar at @ESRC festival of social science. \n\nIf yo… https://t.co/OyituGtlNr","FSAinNI"
"1","Last week we hosted ‘Understanding Food in a Digital World’, a webinar at @ESRC festival of social science. \n\nIf yo… https://t.co/7av6z26xgs","foodgov"
"2","RT @kdnuggets: #DataEngineering — the Cousin of Data Science, is Troublesome https://t.co/XzetVnQnmS https://t.co/kzfMxIeAkS","Peter_TMK"
"3","RT @Women_Whg: 'Celebrating 100 Years of Oxford Degrees for Women' series @UniofOxford. Hear from researchers using cutting-edge data scien…","OxfordBRC"
"1","@Analyticsindiam https://t.co/q2TGN7Dm1c Looks similar right ? Except this story was published 5 hours before you did?","battle4delhi"
"2","Kalooo mauu masuk ke data science jugaaaa gatauuu dahh, kan mayan itung\"an + coding. Tapi yaaa, belum nemu \"feel\"nya di situ 😭","icekybears"
"1","RT @FaheemYounus: Riddle Revealed\nThe table showed rate of COVID deaths/million for the top 11 countries. See image \n\nScience is reproducib…","Thihaza02813773"
"1","I’ll be interested to see the data connecting an 11p trip to the grocery store with rampant community spread that’s… https://t.co/yLnQwKsiGr","zmklein"
"1","@VinGuptaMD @GovInslee Did you read the paper? Publishing a paper does not make it good. This is an ad for Google m… https://t.co/VO36IeltrQ","leefieldvark8i"
"2","RT @ForumAtheist: Yep. All Arguments with theist are \"god of the gaps\". They find an area in science where there is always incomplete data,…","GreekVikingX"
"1","@BlueYonder @dontusethiscode @IBM @codait @rikturr @saturn_cloud @MetroStarSystem #PyDataGlobal2020 thanks Gold Spo… https://t.co/3Y4D7rnmgB","PyData"
"2","RT @AiseaImpact: RT @SUAmsterdam: RT @Dutchstartupjob: Omi health is a Health-tech startup that improves patient care by optimizing hospita…","SUAmsterdam"
"2","RT @UNEPMAPNews: UNEP/MAP Coordinator @gaeleone speaks of the importance of science-policy interfaces with insights from the UNEP/MAP-#Barc…","nesalgan"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","SimSci9"
"2","@ryanleo92881 @TomDoc13 @ScottPresler @realDonaldTrump You’re the one whining . I’m showing you data and evidence .… https://t.co/1tanwEygpK","colinrivas"
"2","le monde du luxe s'ouvre au Consumer Science et l'Analytics : #data #insights #ROI, une nouvelle page d'histoire à… https://t.co/IdGQYOwXEt","yvesdelfrate"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","nlognbot"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","Women_who_code"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","hubofml"
"2","@fridayprayers NASA's budget didn't make people homeless; GW Bush tax cuts extended under Obama helped do that. Ira… https://t.co/RwCDUXER61","DemocracyRevive"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","cybersec_feeds"
"2","RT @n_spencer: 👋🏾 #BlackInDataRollCall, I’m Nelson, a Sr. Data Analyst with an MS in Data Science living at the intersection of decision sc…","SimSci9"
"2","RT @byLilyV: #FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learning Algorit…","CodEdithCo"
"2","RT @Idelictech: Thank you, @pghtech, for recognizing us as the winner of the #2020Tech50 Innovator of the Year: Data Science award! We owe…","schweitzdesign"
"2","@UnbrainwashedUS @NikoLoveTM @kimKBaltimore @HillaryClinton It’s not “the media” who says so.  It’s data scientists… https://t.co/Nw1MUzSiQ6","StableDotard"
"2","RT @byLilyV: #FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learning Algorit…","ML_Tweet_Bot"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","SigularityHub"
"2","#FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learn… https://t.co/d9ZJP2wfdZ","byLilyV"
"2","RT @me23dotpy: I have just finished the machine learning and data science course. What I personally like about Zero to Mastery courses is t…","ML_Tweet_Bot"
"2","I have just finished the machine learning and data science course. What I personally like about Zero to Mastery cou… https://t.co/mKufVXn3wh","me23dotpy"
"2","RT @EthicalSkeptic: Not one media outlet\nNot one govmt org\nNot one 'science' group\n\nNone of them are publishing this chart. You can disagre…","mn_data"
"2","RT @milocamj: Fivetran Extends Integration With Databricks, Accelerating SQL Analytics, Data Science and Machine-Learning Applications - Ai…","ML_Tweet_Bot"
"2","RT @zpkilpat: UC Davis is expanding CompNeuro via a 10+ tenure-track faculty position cluster hire in CompNeuro. NeuroEng, Network + Data S…","memming_KO"
"2","Keep the Clock Running on Your Data Science Project https://t.co/ckCiemVSC7 https://t.co/tsgaIHYRhE","Brian_Richmond_"
"2","Fivetran Extends Integration With Databricks, Accelerating SQL Analytics, Data Science and Machine-Learning Applica… https://t.co/6ZwJYOsY1D","milocamj"
"3","'Celebrating 100 Years of Oxford Degrees for Women' series @UniofOxford. Hear from researchers using cutting-edge d… https://t.co/aFOtSohd6H","Women_Whg"
"1","RT @efbd_impactlab: FREE PYTHON WORKSHOP ON 24 NOVEMBER - REGISTER NOW!\n\n@stevehadd from the @metoffice @informatics_lab will introduce you…","NadirBouchama"
"3","RT @NewDayForNJ: I’ve been in data science for over 20 years—believe me when I say the term ‘broken algorithm’ is a BIG deal &amp; it’s been do…","TravisH65390020"
"2","RT @nutterass: Day 1 - #100DaysOfCode\nKarena udah terlanjur kelamaan, mari ulang dari awal. Hari ini mulai course di https://t.co/5GbkaEY4P…","100xcode"
"2","RT @nutterass: Day 1 - #100DaysOfCode\nKarena udah terlanjur kelamaan, mari ulang dari awal. Hari ini mulai course di https://t.co/5GbkaEY4P…","RobotProud"
"1","RT @RResourcesLLC: Looking to expand your career in Data Science? This position involves engaging work and hands-on Python experience. Appl…","_OliviaBot"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","ehekkala"
"1","RT @RResourcesLLC: Looking to expand your career in Data Science? This position involves engaging work and hands-on Python experience. Appl…","py_data_sci"
"2","👋🏾 #BlackInDataRollCall, I’m Nelson, a Sr. Data Analyst with an MS in Data Science living at the intersection of de… https://t.co/wmOqmBFg6e","n_spencer"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","KayJay56"
"2","🗞️Recently inaugurated by École @Polytechnique, the @FX_EP &amp; @SanofiFR, the “Numerical Innovation and Data Science… https://t.co/UsEn1t1OBa","Polytechnique"
"2","RT @Merryckmentor: “There’s a lot of data and science, but then there’s the art of extrapolating that science into the context of your work…","DeborahBothun"
"1","More better-than-expected vaccine news. Medical science really is amazing. (We used to all die at 28 from tooth inf… https://t.co/NNe1hLgLHn","philquin"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","dataandme"
"2","@GovInslee If contract tracing shows eating at restaurants accounts for only 1/2% of exposure, why are you closing… https://t.co/0SLHaO0Etn","dquilio"
"1","RT @PHCSchoolOfAI: Data Science Roles available at TalentQL. Apply now. https://t.co/LmOeS7lJu1","PHCSchoolOfAI"
"2","RT @CampusChannel: 📌Le 20 Novembre prochain, nous vous donnons rendez-vous avec @SigmaClermont !\n❓ Des questions sur le Mastère spécialisé®…","SigmaClermont"
"1","Are you a woman or person of color looking to jump-start a new career in tech?  If so, apply for the Excella schola… https://t.co/ycT6x3SNAe","AEDBizInvest"
"2","RT @machinelearnflx: Python &amp; Introduction to Data Science https://t.co/URl2lxHuj3  #machinelearning #ad","ILoveBooks786"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","RuthAgbakoba"
"1","RT @gp_pulipaka: The 10 Free Must-read eBooks for #DataScience. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #Tenso…","ergotaxiakos1"
"1","RT @CityBureaucrat: Here at casa de bureaucrat, we believe science is real and agree with the data and scientists that living a life of ins…","BigHapBauer"
"2","RT @clairekremen: Accepting applications now - Review begins:\nHuman Dimensions of Biodiversity Conservation:  22-11-2020\nConservation and R…","Rassim_Kh"
"1","RT @efbd_impactlab: FREE PYTHON WORKSHOP ON 24 NOVEMBER - REGISTER NOW!\n\n@stevehadd from the @metoffice @informatics_lab will introduce you…","py_data_sci"
"2","RT @HillaryJuma_: #BlackInDataRollCall Hey, I'm Hillary, Data Science Community and Engagement manager at the @ONS , @DataSciCampus support…","KayJay56"
"1","A step-by-step guide for creating an authentic data science portfolio project https://t.co/OCawAdP7PL  #DataScience","Datascience__"
"1","This is a great explanation of the benefits and challenges of the Kubernetes platform for data science workloads. https://t.co/F2WlR0ivZV","facorreia"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","epuujee"
"2","RT @NVIDIAAI: Introducing NVIDIA DGX Station A100, the workgroup appliance for the age of #AI. Delivering 2.5 petaFLOPS of performance, dat…","HARUNEKO3084"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","BlkInData"
"2","I think most people that believe/use science don't \"believe blindly\" but have faith in the system\nBut the fundament… https://t.co/UvUr3cSFoM","TimilehinEO"
"2","@XLevelOnline @Lawlith117 @JamesEBriggs @GreggDoyelStar Happens to all races and cobsidering the over 300 mil polic… https://t.co/cqNps9UJ15","Boob1993"
"1","@Danielmayowa7 @tosinox By societal definition? Based on what available fact &amp; data? See, we can't throw science ou… https://t.co/PXWGCH9gI2","glucosebaybie"
"1","RT @TheSmartJokes: Keep calm https://t.co/DT9s0Cqdpb https://t.co/gMYMpobK5D","cormul_h"
"2","RT @rootsnpoetry: #BlackInDataRollCall ! I'm Kailande, a co-organizer @BlkInData #BlackinDataWeek. I'm a senior @howardu in @HUKarshSTEM &amp;…","LindseyWhitmor1"
"1","It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis… https://t.co/6K912xIwFS","Dorris_Scott"
"2","@SadiqKhan But it wouldn t be!!!! Look at the data please! Look at the science and embrace the fact that Covid is N… https://t.co/W9fOt10Stb","emigrantdude"
"1","RT @FaheemYounus: Riddle Revealed\nThe table showed rate of COVID deaths/million for the top 11 countries. See image \n\nScience is reproducib…","akhi1211"
"1","Thomas Doyle is an MS student using high vertical resolution hydraulic head data to identify hydrostratigraphic uni… https://t.co/EgQjOjXIgU","UIowaEES"
"1","L’Oréal USA Announces 2020 For Women In Science Fellows \n\nREAD MORE: https://t.co/vjQy02wd61\n\n#Art #Astronomy… https://t.co/02h61xDL5w","IAM__Network"
"1","RT @SIRSGlobal: 🔬New research from NAPLS2 @SchizRes analysing data of 349 individuals at clinical high risk for #psychosis (CHR) shows that…","JDavid_VS"
"2","RT @NVIDIAAI: Introducing NVIDIA DGX Station A100, the workgroup appliance for the age of #AI. Delivering 2.5 petaFLOPS of performance, dat…","MarkusAtNVIDIA"
"2","RT @zpkilpat: UC Davis is expanding CompNeuro via a 10+ tenure-track faculty position cluster hire in CompNeuro. NeuroEng, Network + Data S…","uttara_tipnis"
"1","RT @RiskyTalkPod: Good news! But once again, it’s science by press release😖\n\nGive us the the data &amp; the detail!","_captainscience"
"1","RT @ShuangZhang20: I'm seeking a new graduate student to work on global carbon and biogeochemical cycles using Geo-statistics and Data Scie…","menudolio"
"1","RT @ShuangZhang20: I'm seeking a new graduate student to work on global carbon and biogeochemical cycles using Geo-statistics and Data Scie…","ChemClimatology"
"2","RT @uvastudco: The Student Council Data Science Committee is running a survey investigating the effects of tuition increases on students, a…","noah_strike"
"1","RT @RoadBoticsNA: Many Congrats to the @pghtech winners thus far and to the Data Science Category Winner: @Idelictech #2020Tech50\n\nIOY: Inn…","Idelictech"
"1","@Plinz I would have benefited from a project based curricula, in fact I would have happily stayed behind if I could… https://t.co/kEZjrppKuf","NwaigboOdera"
"1","RT @marcusborba: 10 Free Must-Read Books for Machine Learning and Data Science\n\nhttps://t.co/QoFqTbk2PG @kdnuggets\n\n#ArtificialIntelligence…","serik0411"
"2","RT @iwpgh: Innovator of the Year: Data Science\nWinner: @Idelictech","Idelictech"
"1","RT @hystaxcom: Hystax is eager to announce a successful partnership with PGI-DATA to enable blue-chip Asian companies in the areas of data…","mirlena777"
"2","RT @OriginVentures: Origin portfolio company @Idelictech was named Innovator of the Year in Data Science by @NEXTpittsburgh! https://t.co/l…","Idelictech"
"1","RT @TrendingNews_7: Top Data Science Applications You Should Know About\nhttps://t.co/SARO4vfiBq V/ \n@automeme\n\n#data #DataScience #BigData…","AITechmeme"
"2","For @451Research clients: @iguazio lifts the lid on its enterprise data science play for data scientists… https://t.co/O8RPB4iGar","thedataday"
"2","For @451Research clients: @iguazio lifts the lid on its enterprise data science play for data scientists… https://t.co/H7FKeDviGm","maslett"
"2","Thank you, @pghtech, for recognizing us as the winner of the #2020Tech50 Innovator of the Year: Data Science award!… https://t.co/J1jtsqLwvk","Idelictech"
"1","Looking to expand your career in Data Science? This position involves engaging work and hands-on Python experience.… https://t.co/pLMKzXUVTs","RResourcesLLC"
"1","RT @ChristiAnne67: 🥼 Moderna COVID vaccine could be up to 94.5% effective https://t.co/TSTGltbTxw seeks FDA authorization\n\n#Science\n😷 #COVI…","BP_Smith"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","coder_487"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","yabellini"
"1","Are you somebody who wants to use their data skills for the social good? Do you want to meet like-minded people?\n\nT… https://t.co/VkPG6NXd18","CorrelAidxNL"
"2","What Containers in Data Science?\n\n5 Reasons Why Containers  Will Rule Data Science\n\n👉 https://t.co/6wdz75wTNc… https://t.co/bn8xGw1Kny","henson_tm"
"1","@DertGroe @fridayprayers I have to push back against this nonsense. First off, there is no \"printed map of the gala… https://t.co/AXhVV45lSu","DemocracyRevive"
"1","Last week we hosted ‘Understanding Food in a Digital World’, a webinar at @ESRC festival of social science. \n\nIf yo… https://t.co/OyituGtlNr","FSAinNI"
"1","Last week we hosted ‘Understanding Food in a Digital World’, a webinar at @ESRC festival of social science. \n\nIf yo… https://t.co/7av6z26xgs","foodgov"
"2","RT @kdnuggets: #DataEngineering — the Cousin of Data Science, is Troublesome https://t.co/XzetVnQnmS https://t.co/kzfMxIeAkS","Peter_TMK"
"3","RT @Women_Whg: 'Celebrating 100 Years of Oxford Degrees for Women' series @UniofOxford. Hear from researchers using cutting-edge data scien…","OxfordBRC"
"1","@Analyticsindiam https://t.co/q2TGN7Dm1c Looks similar right ? Except this story was published 5 hours before you did?","battle4delhi"
"2","Kalooo mauu masuk ke data science jugaaaa gatauuu dahh, kan mayan itung\"an + coding. Tapi yaaa, belum nemu \"feel\"nya di situ 😭","icekybears"
"1","RT @FaheemYounus: Riddle Revealed\nThe table showed rate of COVID deaths/million for the top 11 countries. See image \n\nScience is reproducib…","Thihaza02813773"
"1","I’ll be interested to see the data connecting an 11p trip to the grocery store with rampant community spread that’s… https://t.co/yLnQwKsiGr","zmklein"
"1","@VinGuptaMD @GovInslee Did you read the paper? Publishing a paper does not make it good. This is an ad for Google m… https://t.co/VO36IeltrQ","leefieldvark8i"
"2","RT @ForumAtheist: Yep. All Arguments with theist are \"god of the gaps\". They find an area in science where there is always incomplete data,…","GreekVikingX"
"1","@BlueYonder @dontusethiscode @IBM @codait @rikturr @saturn_cloud @MetroStarSystem #PyDataGlobal2020 thanks Gold Spo… https://t.co/3Y4D7rnmgB","PyData"
"2","RT @AiseaImpact: RT @SUAmsterdam: RT @Dutchstartupjob: Omi health is a Health-tech startup that improves patient care by optimizing hospita…","SUAmsterdam"
"2","RT @UNEPMAPNews: UNEP/MAP Coordinator @gaeleone speaks of the importance of science-policy interfaces with insights from the UNEP/MAP-#Barc…","nesalgan"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","SimSci9"
"2","@ryanleo92881 @TomDoc13 @ScottPresler @realDonaldTrump You’re the one whining . I’m showing you data and evidence .… https://t.co/1tanwEygpK","colinrivas"
"2","le monde du luxe s'ouvre au Consumer Science et l'Analytics : #data #insights #ROI, une nouvelle page d'histoire à… https://t.co/IdGQYOwXEt","yvesdelfrate"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","nlognbot"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","Women_who_code"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","hubofml"
"2","@fridayprayers NASA's budget didn't make people homeless; GW Bush tax cuts extended under Obama helped do that. Ira… https://t.co/RwCDUXER61","DemocracyRevive"
"2","RT @SourabhSKatoch: How to Learn Python for Data Science with Excel? [Summarize Data in Pandas]\n\nhttps://t.co/xoBFPmGU6L\n\n#100DaysOfCode #I…","cybersec_feeds"
"2","RT @n_spencer: 👋🏾 #BlackInDataRollCall, I’m Nelson, a Sr. Data Analyst with an MS in Data Science living at the intersection of decision sc…","SimSci9"
"2","RT @byLilyV: #FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learning Algorit…","CodEdithCo"
"2","RT @Idelictech: Thank you, @pghtech, for recognizing us as the winner of the #2020Tech50 Innovator of the Year: Data Science award! We owe…","schweitzdesign"
"2","@UnbrainwashedUS @NikoLoveTM @kimKBaltimore @HillaryClinton It’s not “the media” who says so.  It’s data scientists… https://t.co/Nw1MUzSiQ6","StableDotard"
"2","RT @byLilyV: #FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learning Algorit…","ML_Tweet_Bot"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","SigularityHub"
"2","#FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learn… https://t.co/d9ZJP2wfdZ","byLilyV"
"2","RT @me23dotpy: I have just finished the machine learning and data science course. What I personally like about Zero to Mastery courses is t…","ML_Tweet_Bot"
"2","I have just finished the machine learning and data science course. What I personally like about Zero to Mastery cou… https://t.co/mKufVXn3wh","me23dotpy"
"2","RT @EthicalSkeptic: Not one media outlet\nNot one govmt org\nNot one 'science' group\n\nNone of them are publishing this chart. You can disagre…","mn_data"
"2","RT @milocamj: Fivetran Extends Integration With Databricks, Accelerating SQL Analytics, Data Science and Machine-Learning Applications - Ai…","ML_Tweet_Bot"
"2","RT @zpkilpat: UC Davis is expanding CompNeuro via a 10+ tenure-track faculty position cluster hire in CompNeuro. NeuroEng, Network + Data S…","memming_KO"
"2","Keep the Clock Running on Your Data Science Project https://t.co/ckCiemVSC7 https://t.co/tsgaIHYRhE","Brian_Richmond_"
"2","Fivetran Extends Integration With Databricks, Accelerating SQL Analytics, Data Science and Machine-Learning Applica… https://t.co/6ZwJYOsY1D","milocamj"
"3","'Celebrating 100 Years of Oxford Degrees for Women' series @UniofOxford. Hear from researchers using cutting-edge d… https://t.co/aFOtSohd6H","Women_Whg"
"1","RT @efbd_impactlab: FREE PYTHON WORKSHOP ON 24 NOVEMBER - REGISTER NOW!\n\n@stevehadd from the @metoffice @informatics_lab will introduce you…","NadirBouchama"
"3","RT @NewDayForNJ: I’ve been in data science for over 20 years—believe me when I say the term ‘broken algorithm’ is a BIG deal &amp; it’s been do…","TravisH65390020"
"2","RT @nutterass: Day 1 - #100DaysOfCode\nKarena udah terlanjur kelamaan, mari ulang dari awal. Hari ini mulai course di https://t.co/5GbkaEY4P…","100xcode"
"2","RT @nutterass: Day 1 - #100DaysOfCode\nKarena udah terlanjur kelamaan, mari ulang dari awal. Hari ini mulai course di https://t.co/5GbkaEY4P…","RobotProud"
"1","RT @RResourcesLLC: Looking to expand your career in Data Science? This position involves engaging work and hands-on Python experience. Appl…","_OliviaBot"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","ehekkala"
"1","RT @RResourcesLLC: Looking to expand your career in Data Science? This position involves engaging work and hands-on Python experience. Appl…","py_data_sci"
"2","👋🏾 #BlackInDataRollCall, I’m Nelson, a Sr. Data Analyst with an MS in Data Science living at the intersection of de… https://t.co/wmOqmBFg6e","n_spencer"
"1","RT @Dorris_Scott: It's also #BlackInDataWeek! I am a GIS Librarian/Social Science Data Curator at Washington University in St. Louis Univer…","KayJay56"
"2","🗞️Recently inaugurated by École @Polytechnique, the @FX_EP &amp; @SanofiFR, the “Numerical Innovation and Data Science… https://t.co/UsEn1t1OBa","Polytechnique"
